,Title,Year,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %
83,Independence Day,1996,817400891,306169268,37.5,511231623,62.5
84,Fantastic Beasts and Where to Find Them,2016,814043616,234037575,28.8,580006041,71.2
85,Shrek the Third,2007,813367380,322719944,39.7,490647436,60.3
86,Coco,2017,807817888,210460015,26.0,597357873,74.0
87,Jumanji: The Next Level,2019,800059707,320314960,40.0,479744747,60.0
88,Harry Potter and the Prisoner of Azkaban,2004,796208921,249975996,31.4,546232925,68.6
89,Pirates of the Caribbean: Dead Men Tell No Tales,2017,794881442,172558876,21.7,622322566,78.3
90,E.T. the Extra-Terrestrial,1982,793482178,435110554,54.8,358371624,45.2
91,2012,2009,791217826,166112167,21.0,625105659,79.0
92,Mission: Impossible - Fallout,2018,791120426,220159104,27.8,570961322,72.2
93,Indiana Jones and the Kingdom of the Crystal Skull,2008,790653942,317101119,40.1,473552823,59.9
94,Spider-Man 2,2004,788976453,373585825,47.4,415390628,52.6
95,Fast & Furious 6,2013,788680968,238679850,30.3,550001118,69.7
96,Deadpool 2,2018,785794179,324591735,41.3,461202444,58.7
97,Deadpool,2016,782612155,363070709,46.4,419541446,53.6
98,Star Wars: Episode IV - A New Hope,1977,775749212,460998507,59.4,314750705,40.6
99,Guardians of the Galaxy,2014,772798843,333176600,43.1,439622243,56.9
100,The Da Vinci Code,2006,760006945,217536138,28.6,542470807,71.4
101,Fast & Furious Presents: Hobbs & Shaw,2019,759056935,173956935,22.9,585100000,77.1
102,Maleficent,2014,758411779,241410378,31.8,517001401,68.2
103,The Amazing Spider-Man,2012,757930663,262030663,34.6,495900000,65.4
104,The Hunger Games: Mockingjay - Part 1,2014,755356711,337135885,44.6,418220826,55.4
105,Shrek Forever After,2010,752600867,238736787,31.7,513864080,68.3
106,Madagascar 3: Europe's Most Wanted,2012,746921274,216391482,29.0,530529792,71.0
107,Suicide Squad,2016,746846894,325100054,43.5,421746840,56.5
108,X-Men: Days of Future Past,2014,746045700,233921534,31.4,512124166,68.6
109,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,745013115,291710957,39.2,453302158,60.8
110,Monsters University,2013,743559607,268492764,36.1,475066843,63.9
111,The Matrix Reloaded,2003,741847937,281576461,38.0,460271476,62.0
112,Up,2009,735099102,293004164,39.9,442094938,60.1
113,Ne Zha,2019,726063471,3695533,0.5,722367938,99.5
114,Gravity,2013,723192705,274092705,37.9,449100000,62.1
115,Captain America: The Winter Soldier,2014,714421503,259766572,36.4,454654931,63.6
116,The Twilight Saga: Breaking Dawn - Part 1,2011,712205856,281287133,39.5,430918723,60.5
117,The Twilight Saga: New Moon,2009,711025481,297816253,41.9,413209228,58.1
118,Dawn of the Planet of the Apes,2014,710644566,208545589,29.4,502098977,70.6
119,Transformers,2007,709709780,319246193,45.0,390463587,55.0
120,The Amazing Spider-Man 2,2014,708982323,202853933,28.6,506128390,71.4
121,It,2017,701796444,328828874,46.9,372967570,53.1
122,The Wandering Earth,2019,699856699,5971413,0.8,693885286,99.2
123,The Twilight Saga: Eclipse,2010,698491347,300531751,43.0,397959596,57.0
124,Interstellar,2014,696264079,188020017,27.0,508244062,73.0
125,Mission: Impossible - Ghost Protocol,2011,694713380,209397903,30.1,485315477,69.9
126,The Hunger Games,2012,694394724,408010692,58.8,286384032,41.2
127,Mission: Impossible - Rogue Nation,2015,682716636,195042377,28.6,487674259,71.4
128,Forrest Gump,1994,678226805,330455270,48.7,347771535,51.3
129,Doctor Strange,2016,677796076,232641920,34.3,445154156,65.7
130,The Sixth Sense,1999,672806292,293506292,43.6,379300000,56.4
131,Man of Steel,2013,668045518,291045518,43.6,377000000,56.4
132,Ice Age: The Meltdown,2006,667094506,195330621,29.3,471763885,70.7
133,Kung Fu Panda 2,2011,665692281,165249063,24.8,500443218,75.2
134,The Hunger Games: Mockingjay - Part 2,2015,658344137,281723902,42.8,376620235,57.2
135,Justice League,2017,657926987,229024295,34.8,428902692,65.2
136,Big Hero 6,2014,657869501,222527828,33.8,435341673,66.2
137,Fantastic Beasts: The Crimes of Grindelwald,2018,654855901,159555901,24.4,495300000,75.6
138,Pirates of the Caribbean: The Curse of the Black Pearl,2003,654264015,305413918,46.7,348850097,53.3
139,Star Wars: Episode II - Attack of the Clones,2002,653779970,310676740,47.5,343103230,52.5
140,Thor: The Dark World,2013,644783140,206362140,32.0,438421000,68.0
141,Moana,2016,643350610,248757044,38.7,394593566,61.3
142,Sing,2016,634154922,270395425,42.6,363759497,57.4
143,Kung Fu Panda,2008,631746197,215434591,34.1,416311606,65.9
144,The Incredibles,2004,631606713,261441092,41.4,370165621,58.6
145,The Martian,2015,630162235,228433663,36.2,401728572,63.8
146,Hancock,2008,629443428,227946274,36.2,401497154,63.8
147,Fast Five,2011,626137675,209837675,33.5,416300000,66.5
148,Men in Black 3,2012,624026776,179020854,28.7,445005922,71.3
149,Iron Man 2,2010,623933331,312433331,50.1,311500000,49.9
150,Ratatouille,2007,623726085,206445654,33.1,417280431,66.9
151,Ant-Man and the Wasp,2018,622674139,216648740,34.8,406025399,65.2
152,How to Train Your Dragon 2,2014,621537519,177002924,28.5,444534595,71.5
153,Logan,2017,619021436,226277068,36.6,392744368,63.4
154,The Lost World: Jurassic Park,1997,618638999,229086679,37.0,389552320,63.0
155,Casino Royale,2006,616501619,167445960,27.2,449055659,72.8
156,The Passion of the Christ,2004,612054428,370782930,60.6,241271498,39.4
157,Mamma Mia!,2008,609913584,144169664,23.6,465743920,76.4
158,Life of Pi,2012,609016565,124987023,20.5,484029542,79.5
159,Transformers: The Last Knight,2017,605425157,130168683,21.5,475256474,78.5
160,Madagascar: Escape 2 Africa,2008,603900354,180010950,29.8,423889404,70.2
161,War of the Worlds,2005,603873119,234280354,38.8,369592765,61.2
162,Tangled,2010,592461732,200821936,33.9,391639796,66.1
163,Quantum of Solace,2008,589580482,168368427,28.6,421212055,71.4
164,Men in Black,1997,589390539,250690539,42.5,338700000,57.5
165,The Croods,2013,587204668,187168425,31.9,400036243,68.1
166,The Hangover Part II,2011,586764305,254464305,43.4,332300000,56.6
167,Iron Man,2008,585796247,319034126,54.5,266762121,45.5
168,I Am Legend,2007,585410052,256393010,43.8,329017042,56.2
169,Ready Player One,2018,582893671,137690172,23.6,445203499,76.4
170,"Monsters, Inc.",2001,579707070,290642256,50.1,289064814,49.9
171,Operation Red Sea,2018,579330426,1543547,0.3,577786879,99.7
172,Night at the Museum,2006,574480841,250863268,43.7,323617573,56.3
173,Fifty Shades of Grey,2015,569651467,166167230,29.2,403484237,70.8
174,Kong: Skull Island,2017,566652812,168052812,29.7,398600000,70.3
175,The Smurfs,2011,563749323,142614158,25.3,421135165,74.7
176,King Kong,2005,562363449,218080025,38.8,344283424,61.2
177,Cars 2,2011,559852396,191452396,34.2,368400000,65.8
178,Puss in Boots,2011,554987477,149260504,26.9,405726973,73.1
179,The Mermaid,2016,553810228,3232685,0.6,550577543,99.4
180,Armageddon,1998,553709788,201578182,36.4,352131606,63.6
181,The Day After Tomorrow,2004,552639571,186740799,33.8,365898772,66.2
182,Star Wars: Episode V - The Empire Strikes Back,1980,550992836,292753960,53.1,258238876,46.9
183,Ted,2012,549368315,218815487,39.8,330552828,60.2
184,American Sniper,2014,547426372,350126372,64.0,197300000,36.0
185,Mission: Impossible II,2000,546388108,215409889,39.4,330978219,60.6
186,Detective Chinatown 2,2018,544185156,1983984,0.4,542201172,99.6
187,X-Men: Apocalypse,2016,543934105,155442489,28.6,388491616,71.4
188,Sherlock Holmes: A Game of Shadows,2011,543848418,186848418,34.4,357000000,65.6
189,Despicable Me,2010,543113985,251513985,46.3,291600000,53.7
190,Cinderella,2015,542351353,201151353,37.1,341200000,62.9
191,Madagascar,2005,542063846,193595521,35.7,348468325,64.3
192,World War Z,2013,540007876,202359711,37.5,337648165,62.5
193,Brave,2012,538983207,237283207,44.0,301700000,56.0
194,The Simpsons Movie,2007,536414270,183135014,34.1,353279256,65.9
195,The Revenant,2015,532950503,183637894,34.5,349312609,65.5
196,The Meg,2018,530259473,145443742,27.4,384815731,72.6
197,Ralph Breaks the Internet,2018,529323962,201091711,38.0,328232251,62.0
198,Hotel Transylvania 3: Summer Vacation,2018,528583774,167510016,31.7,361073758,68.3
199,The Boss Baby,2017,527965936,175003033,33.2,352962903,66.8
